"Year_int","Country","EU_membership_bad","EU_membership_not_beneficial"
2021,"BE",7.33,22.15
2021,"DK",7.88,12.13
2021,"ES",4.76,13
2021,"FI",11.13,24
2021,"FR",11.25,26.27
2021,"GR",14.4,31.95
2021,"IE",3.53,3.99
2021,"IT",13.53,32.25
2021,"LU",2.57,4.95
2021,"NL",5.06,14.51
2021,"PT",1.98,5.38
2021,"SE",8.16,23.57
2021,"DE",5.25,25.62
2022,"AT",17.41,NA
2022,"BE",6.9,NA
2022,"DK",7.47,NA
2022,"ES",3.58,NA
2022,"FI",6.27,NA
2022,"FR",9.78,NA
2022,"GR",17.16,NA
2022,"IE",2.97,NA
2022,"IT",10.69,NA
2022,"LU",3.19,NA
2022,"NL",7.85,NA
2022,"PT",2.19,NA
2022,"SE",7.48,NA
2022,"DE",4.76,NA
2023,"AT",22.1,39.23
2023,"BE",7.46,14.31
2023,"DE",9.35,25.79
2023,"DK",5.86,8.13
2023,"ES",5.64,13
2023,"FI",5.31,13.26
2023,"FR",15.25,23.5
2023,"GR",13.83,23.59
2023,"IE",3.37,4.64
2023,"IT",13.43,36.15
2023,"LU",3.35,5.13
2023,"NL",6.87,18.16
2023,"PT",3.48,6.7
2023,"SE",7.68,18.92
