"Country","Year","Trade balance of goods","FDI net balance","Ratio of migrant to native workers"
"DE",2012,248898.496924673,-33983.36618,0.1136
"DK",2012,14778.500598,-6644.4737,0.1069
"ES",2012,-40999.927699056,29678.31051,0.195
"FI",2012,-3114.531867,-3389.46465,0.0471
"FR",2012,-108214.685501,-19378.28122,0.1476
"GR",2012,-27353.280896,1062.19501,0.1043
"IE",2012,47990.505990748,26337.09112,0.2478
"IT",2012,12424.734805,-7914.74173,0.1318
"LU",2012,-10557.987282,16221.3765,0.9335
"NL",2012,51894.375011351,7077.91657,0.148
"PT",2012,-14365.992692,16624.33798,0.0972
"SE",2012,7892.71871443201,-13113.90963,0.2234
"UK",2012,-207911.257542,34746.23527,0.19
"AT",2013,-7092.127432896,-9851.43142,0.2277
"BE",2013,-9737.42096536499,-16788.63138,0.2039
"DE",2013,263635.982186447,-26753.47235,0.1202
"DK",2013,13217.989632,-6131.62984,0.1179
"ES",2013,-22144.972178645,14245.30181,0.1891
"FI",2013,-3141.61613,2201.44233,0.0465
"FR",2013,-103265.855737,894.003580000001,0.1492
"GR",2013,-24886.475792,3603.82495,0.1011
"IE",2013,44356.534476239,21433.03009,0.2509
"IT",2013,38758.749056,-861.92813,0.1402
"LU",2013,-10108.074186,-23321.6017,0.9544
"NL",2013,62049.375986063,-18603.49293,0.1474
"PT",2013,-12919.761046,7449.44218,0.1027
"SE",2013,6905.87458079401,-29060.31192,0.2343
"UK",2013,-109180.674549,11190.31986,0.1928
"AT",2014,-2733.77885728,5310.34004,0.2418
"BE",2014,-9220.49528510602,-13534.73357,0.2039
"DE",2014,283323.190453293,-87185.97373,0.1293
"DK",2014,11181.093277,-3575.07568,0.13
"ES",2014,-33107.1424025779,-13156.11175,0.1826
"FI",2014,-2434.421145,16826.32152,0.058
"FR",2014,-93215.911003,-56362.34772,0.1448
"GR",2014,-26425.264901,-332.30877,0.1025
"IE",2014,40465.812045254,7013.13884,0.2593
"IT",2014,55446.174541,-3107.49496,0.1472
"LU",2014,-9059.129393,-23360.30184,0.9667
